,log2FoldChange,pvalue,padj,significant,mean_log2_expression
HCCS,-0.44698315956509194,0.027246801455189075,0.08210131600859621,False,2.210248658210079
DVL2,-0.2505234620564236,0.30496814284095675,0.4558760351416133,False,4.786325438339706
PRSS22,-1.1118585771782077,0.00736995430745776,0.03353834455131261,True,3.6854640812299087
UPF1,-0.8542810380325108,0.0020135361212016314,0.012970427079175383,False,5.484483076599135
SKAP2,0.644086026256474,0.004392289322222988,0.02318203587531976,False,3.211612895600112
SLC25A5,-0.49459678636462456,0.13435532873152367,0.2532971399104599,False,5.69810247066361
CCDC109B,-0.8474375133409748,0.0006488414878367951,0.005657383618752693,False,2.945938448613271
HOXA11,0.11480528775067372,0.5584479323787159,0.6983962467687617,False,0.49963953552515117
POLR2J,-1.1622552657341338,0.0007368338056478919,0.006205464737582039,True,3.874236591002387
DHX33,-0.2667582216410729,0.14102731845919672,0.2619245105517748,False,2.8320150478697674
MEOX1,1.4196352627207027,3.381128381013683e-07,1.54524436121903e-05,True,2.1322332524004293
THSD7A,0.6885198537123489,0.0015245251912823221,0.010610359925301441,False,1.512483731425452
LIG3,0.03648338073984281,0.8846737258040935,0.9517058582693771,False,4.483598579905666
RPAP3,0.057680371174262834,0.783736400853268,0.8797408143197013,False,2.4469385427954276
ACSM3,0.5702849163737378,0.03608001215080579,0.09957414476625055,False,2.168013350126695
AC004381.6,-0.2513115806901216,0.3199633255072228,0.4718211639654556,False,2.199788710562586
CIAPIN1,-0.4821061357139107,0.06948512605085626,0.15746539758513944,False,3.8488039280840254
FAM214B,-0.20803424682102234,0.31795519596339283,0.4697402873230335,False,3.3566578838152363
COPZ2,0.23855128045447405,0.39073363444719444,0.5439588230088633,False,3.3517665838586015
PRKAR2B,0.7745207347275771,0.022753831042498774,0.0726157098496895,False,2.242603343109482
MSL3,-0.015248540318048676,0.945407656501644,0.9952539212527187,False,3.5124325694949268
CREBBP,0.25780539335705743,0.22161101306924016,0.3627134235070998,False,5.693695192469113
BZRAP1,0.18134636049739417,0.48192522313888897,0.6318928869678095,False,4.5559905465557895
MPO,0.2055102977403203,0.3597778963652186,0.5120966879787835,False,0.5847858878186878
PON1,0.4531781091561551,0.0184626769264402,0.0630464338733752,False,0.6713062835173498
GCFC2,-0.5697391013702711,0.004539782433290671,0.023756121774205975,False,3.0371350822101686
WDR54,-0.4441930059941561,0.02020584609417719,0.06686622426000513,False,3.509968140268494
CROT,0.6467054641198562,0.021196130488833318,0.06904856924809644,False,2.323768316526576
ABCB4,0.8620171678672844,0.001052345518942961,0.008032724330454785,False,1.2355112512659576
KMT2E,0.09874708107058883,0.606903030844799,0.7400251784807559,False,5.207412991242743
RHBDD2,-0.23268097932855092,0.420486143291955,0.5721557002595857,False,4.670205180113901
SOX8,-0.05907895222172632,0.8667117962871448,0.9403735552002259,False,2.0509175351828
IBTK,0.25160377547740653,0.09513086017544027,0.1965927727990164,False,3.230429379963275
ZNF195,-0.46592203867373927,0.02036198563292959,0.0671634408605302,False,4.13254700334644
MYCBP2,0.22837247746465117,0.3159000259854143,0.4677963667422979,False,5.268553596863232
FBXL3,0.03654487366586556,0.8709167331412759,0.9428178900212957,False,3.8790588430179502
ITGAL,-0.45374355832123925,0.017415750020192067,0.06057366000838491,False,5.015875979548619
PDK2,0.6994413353637698,0.016268411127583076,0.05779439404966607,False,4.537750435116959
ITGA3,0.3801464977727056,0.054005149601591196,0.1314612105984708,False,5.529071498196927
ZFX,0.03743287580024468,0.861304963249385,0.9368710194996533,False,4.393066656484512
LAMP2,-0.5420646951635995,0.02468707394470508,0.0769300444950745,False,4.351756165057814
GGNBP2,-0.0072408109301198564,0.9592816123862691,1.0,False,4.592673654223106
