,log2FoldChange,pvalue,padj,significant,mean_log2_expression
TIMM10B,2.088661326006939,2.2448444653060678e-08,1.7150611714938358e-06,True,7.723304800790106
HIST1H2BL,-2.384717282080312,2.2585112066051248e-08,1.719015710110051e-06,True,3.820737448726424
PGR,2.1692848006905185,2.2926617465839985e-08,1.7319861836320757e-06,True,2.359195512582987
LEPR,1.2083277934706635,2.287577850688936e-08,1.7319861836320757e-06,True,2.5282371333651383
FAM189B,-1.0169969904031335,2.337332875272987e-08,1.7591688250102935e-06,True,4.765174337464519
ALG9,2.1951667390232785,2.5903124814000208e-08,1.942350611052771e-06,True,7.478082931254866
HIST1H3F,-2.86981117866525,2.644434528437879e-08,1.9756170281458783e-06,True,4.811876534867453
RSPO3,1.2864302568368435,2.654870909167192e-08,1.9761219274631975e-06,True,1.4591297835469101
AGTR1,1.3640999480298126,2.670491239335404e-08,1.980467605552549e-06,True,1.1593299613407162
DTYMK,-1.631087460699347,2.7711053243772204e-08,2.0475838831146423e-06,True,3.916880321953931
C4orf48,-2.2859389884443315,2.8269044658750623e-08,2.0812184660402365e-06,True,3.298647627479475
SNURF,2.105726136081315,2.8574425098973158e-08,2.0960790237456905e-06,True,7.776384706798032
CYP4F22,2.0727239215591586,2.9836714526186706e-08,2.1729284974718566e-06,True,1.6674148125951154
HMGA1,-1.7456694837708255,3.050468881927377e-08,2.2136126517384117e-06,True,6.070550627641596
BAX,-1.17232404225473,3.093020284412019e-08,2.236474595650205e-06,True,4.999923912883773
TM9SF1,2.1115190442439946,3.1347576618386655e-08,2.25858731749415e-06,True,7.886658097165819
TRABD2B,1.1876503900704167,3.181337504263022e-08,2.2744914592901368e-06,True,1.6139042271382813
FOXM1,-1.6472400663167384,3.180226349100096e-08,2.2744914592901368e-06,True,4.365186361028573
TBX18,1.4533909752839356,3.190534300298325e-08,2.2744914592901368e-06,True,3.21196912979442
PLXNA4,1.5086907604040611,3.213049129897046e-08,2.2825050064524773e-06,True,2.5109172779996434
KBTBD4,2.343734442557893,3.287003958478479e-08,2.3268769980194156e-06,True,6.247924966319202
NCAPD2,-1.3395759363325497,3.3387086377640945e-08,2.355243731016441e-06,True,4.408589191020066
SLC12A8,-1.344923754985674,3.3732131648086235e-08,2.3655112258181356e-06,True,4.068332407731951
PRDX4,-1.5860739325818427,3.376631158063031e-08,2.3655112258181356e-06,True,4.206161882950168
IFI6,-2.7951169199413117,3.454531908550309e-08,2.4117397593279153e-06,True,5.774840296839666
NR3C2,1.3323504477838188,3.536841763055536e-08,2.4607181558358207e-06,True,2.570340311860015
AQP1,2.6986850078318936,3.555525232390197e-08,2.4652453374990385e-06,True,9.228721827942502
MFAP2,-1.7500369005297318,3.6202721709774385e-08,2.50157100251226e-06,True,4.312727810111416
MAMDC2,1.643278268763343,3.6726246984701e-08,2.5291142736471307e-06,True,2.443082791020406
MROH1,-1.252702609352741,3.913643113196334e-08,2.6859531684668805e-06,True,5.9087522520728015
CTXN1,-2.11007371357494,3.9384839738245386e-08,2.6938698153395815e-06,True,3.5612661018329934
FGF7,1.8156323725913412,4.0061909498391016e-08,2.7309542750990724e-06,True,3.099362372921464
MAOA,1.9521743017932935,4.092814896420984e-08,2.775496406054124e-06,True,2.1816947527994026
HIST1H2AH,-2.4198395439075786,4.098950041539974e-08,2.775496406054124e-06,True,4.594440813837134
HSPB7,1.937368435915639,4.199169587040107e-08,2.8244646996416615e-06,True,2.7501530176062734
DCAF8,2.2545572819119304,4.236909778397743e-08,2.840413091835785e-06,True,10.151954008917967
LMOD1,1.9665733745738985,4.356472623586488e-08,2.9109288692122783e-06,True,3.584816934926508
AOC3,1.732350218502365,4.6119123745926403e-08,3.071472958421138e-06,True,3.9835947364891853
DCLK1,1.4191357265049946,4.6533902725671675e-08,3.088935719947373e-06,True,3.198819536295782
MEX3A,-2.199729551880619,4.6951559199573923e-08,3.1064747305705024e-06,True,3.2313768260210307
